Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,Average Salary,Compant Text,Job State,Company Age
Data Analyst - Intex Developer,$37K-$66K (Glassdoor est.),3.3,"Macquarie Group
3.3","New York, NY","Sydney, Australia",10000+ employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),"Goldman Sachs, Commonwealth Bank of Australia, Deutsche Bank",-1,51.5,Macquarie Group, NY,53
Data Analyst,$37K-$66K (Glassdoor est.),3.5,"Andiamo
3.5","New York, NY","Warren, MI",201 to 500 employees,-1,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),-1,-1,51.5,Andiamo, NY,-1
Entry Level / Jr. Data Analyst,$37K-$66K (Glassdoor est.),3.8,"Dash Technologies Inc
3.8","New York, NY","Columbus, OH",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1,-1,51.5,Dash Technologies Inc, NY,-1
Data Analyst,$37K-$66K (Glassdoor est.),4.0,"Hearst Communications
4.0","New York, NY","San Francisco, CA",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),-1,-1,51.5,Hearst Communications, NY,-1
Data + Business Intelligence Analyst,$37K-$66K (Glassdoor est.),5.0,"Duolingo
5.0","New York, NY","Pittsburgh, PA",201 to 500 employees,2011,Company - Private,Internet,Information Technology,$10 to $25 million (USD),-1,-1,51.5,Duolingo, NY,11
"Data Analyst, Product",$37K-$66K (Glassdoor est.),4.8,"Ro
4.8","New York, NY","New York, NY",51 to 200 employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,51.5,Ro, NY,5
Data Analyst Entry Level,$37K-$66K (Glassdoor est.),3.7,"Endai
3.7","New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1,-1,51.5,Endai, NY,-1
Data Analyst,$37K-$66K (Glassdoor est.),4.7,"BlueLabs
4.7","New York, NY","Washington, DC",1 to 50 employees,-1,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,-1,51.5,BlueLabs, NY,-1
Data Analyst,$46K-$87K (Glassdoor est.),3.6,"Revel
3.6","Brooklyn, NY","Seattle, WA",51 to 200 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,True,66.5,Revel, NY,17
Data Analyst,$46K-$87K (Glassdoor est.),3.6,"NALLAS CORPORATION
3.6","Jersey City, NJ","Newtown, PA",1 to 50 employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1,-1,66.5,NALLAS CORPORATION, NJ,-1
Data Analyst,$46K-$87K (Glassdoor est.),3.5,"Pozent
3.5","New York, NY","Piscataway, NJ",1 to 50 employees,-1,Contract,-1,-1,Less than $1 million (USD),-1,-1,66.5,Pozent, NY,-1
"Data Science Analyst, Capital Markets",$46K-$87K (Glassdoor est.),3.2,"SoFi
3.2","New York, NY","San Francisco, CA",1001 to 5000 employees,2011,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1,-1,66.5,SoFi, NY,11
Data Analyst (Games),$46K-$87K (Glassdoor est.),-1.0,Carry1st,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,66.5,Carry1st, NY,-1
Analyst/Associate Global Markets Credit Data Analyst,$46K-$87K (Glassdoor est.),3.7,"Bank of America
3.7","New York, NY","Charlotte, NC",10000+ employees,1904,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1,-1,66.5,Bank of America, NY,118
Data Business Analyst,$46K-$87K (Glassdoor est.),-1.0,Clear Street,"New York, NY","New York, NY",51 to 200 employees,2018,Company - Public,-1,-1,$1 to $5 million (USD),-1,-1,66.5,Clear Street, NY,4
Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,$46K-$87K (Glassdoor est.),3.6,"Nutech Information Systems
3.6","New York, NY","Westmont, IL",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),-1,-1,66.5,Nutech Information Systems, NY,-1
Data Science Analyst/Engineer,$46K-$87K (Glassdoor est.),4.0,"NYU Langone Health
4.0","New York, NY","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",-1,66.5,NYU Langone Health, NY,181
Data Analyst,$46K-$87K (Glassdoor est.),4.6,"The Trevor Project
4.6","New York, NY","West Hollywood, CA",51 to 200 employees,-1,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD),-1,-1,66.5,The Trevor Project, NY,-1
"Business Analyst, Data Platforms",$46K-$87K (Glassdoor est.),-1.0,Pinto,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,66.5,Pinto, NY,-1
Behavioral Data Analyst,$46K-$87K (Glassdoor est.),-1.0,AB InBev,"New York, NY","Kyiv, Ukraine",1001 to 5000 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,66.5,AB InBev, NY,-1
Data Analyst,$46K-$87K (Glassdoor est.),5.0,"Whip Media Group
5.0","New York, NY","Santa Monica, CA",51 to 200 employees,2016,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,66.5,Whip Media Group, NY,6
Data Analyst -1+ year Contract - NYC,$46K-$87K (Glassdoor est.),4.0,"Two95 International Inc.
4.0","New York, NY","Cherry Hill, NJ",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,-1,66.5,Two95 International Inc., NY,-1
Data Analyst,$46K-$87K (Glassdoor est.),3.0,"Vettery
3.0","New York, NY","New York, NY",201 to 500 employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Hired, Indeed, AngelList",-1,66.5,Vettery, NY,9
Data Analyst,$46K-$87K (Glassdoor est.),2.9,"Nesco Resource, LLC
2.9","New York, NY","Cleveland, OH",1001 to 5000 employees,1956,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),-1,-1,66.5,"Nesco Resource, LLC", NY,66
Advertising Data Analyst,$46K-$87K (Glassdoor est.),4.0,"Hearst Communications
4.0","New York, NY","San Francisco, CA",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),-1,-1,66.5,Hearst Communications, NY,-1
Data Analyst,$46K-$87K (Glassdoor est.),3.6,"MediaMath
3.6","New York, NY","New York, NY",501 to 1000 employees,2007,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),"Criteo, AppNexus, dataxu",True,66.5,MediaMath, NY,15
Market Data Reporting Analyst,$46K-$87K (Glassdoor est.),4.9,"Jordan & Jordan
4.9","New York, NY","New York, NY",1 to 50 employees,1990,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,-1,-1,66.5,Jordan & Jordan, NY,32
"Senior Analyst, Data Science",$46K-$87K (Glassdoor est.),3.9,"Roku
3.9","New York, NY","San Jose, CA",1001 to 5000 employees,2002,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),-1,-1,66.5,Roku, NY,20
"Senior Data Analyst, Disney+",$46K-$87K (Glassdoor est.),4.0,"Walt Disney Co.
4.0","New York, NY","Burbank, CA",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",-1,66.5,Walt Disney Co., NY,99
"Office of the CAO | Reference Data, Project Manager/Business Analyst",$46K-$87K (Glassdoor est.),3.8,"Citadel
3.8","New York, NY","Chicago, IL",1001 to 5000 employees,1990,Company - Private,-1,-1,$50 to $100 million (USD),"Soros Fund Management, D. E. Shaw & Co. - Investment Firm, Fortress Investment Group",-1,66.5,Citadel, NY,32
Business Data Analyst,$46K-$87K (Glassdoor est.),3.7,"Xoriant Corporation
3.7","Jersey City, NJ","Sunnyvale, CA",1001 to 5000 employees,1990,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"Persistent Systems (India), GlobalLogic, Synechron",-1,66.5,Xoriant Corporation, NJ,32
Senior Data Analyst,$46K-$87K (Glassdoor est.),3.6,"Gemini
3.6","New York, NY","New York, NY",51 to 200 employees,2015,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,-1,-1,66.5,Gemini, NY,7
Data Scientist / Big Data Analytics Analyst,$46K-$87K (Glassdoor est.),3.6,"TSR, Inc.
3.6","Weehawken, NJ","Hauppauge, NY",201 to 500 employees,1969,Company - Public,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,-1,66.5,"TSR, Inc.", NJ,53
Data Reporting Analyst,$46K-$87K (Glassdoor est.),-1.0,NADAP NYS INC.,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,66.5,NADAP NYS INC., NY,-1
"Principal Data Analyst, LATAM - Disney Streaming Services",$46K-$87K (Glassdoor est.),4.0,"Walt Disney Co.
4.0","New York, NY","Burbank, CA",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",-1,66.5,Walt Disney Co., NY,99
Data Analyst II,$46K-$87K (Glassdoor est.),3.2,"Fragomen Worldwide
3.2","New York, NY","New York, NY",1001 to 5000 employees,1951,Company - Private,Legal,Accounting & Legal,$500 million to $1 billion (USD),-1,-1,66.5,Fragomen Worldwide, NY,71
"Data Analyst - Environmental, Social, and Governance",$46K-$87K (Glassdoor est.),3.8,"Bloomberg
3.8","New York, NY","New York, NY",10000+ employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Google, Goldman Sachs, Thomson Reuters",-1,66.5,Bloomberg, NY,41
Data Analyst,$46K-$87K (Glassdoor est.),3.9,"Real Capital Analytics
3.9","New York, NY","New York, NY",51 to 200 employees,2000,Company - Private,Real Estate,Real Estate,$25 to $50 million (USD),-1,-1,66.5,Real Capital Analytics, NY,22
"Data Analyst, Revenue Analytics",$51K-$88K (Glassdoor est.),4.8,"Ro
4.8","New York, NY","New York, NY",51 to 200 employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,69.5,Ro, NY,5
Data Analyst - Data Acquisition / Data Lineage,$51K-$88K (Glassdoor est.),3.6,"Perficient
3.6","New York, NY","Saint Louis, MO",1001 to 5000 employees,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),-1,-1,69.5,Perficient, NY,24
Data Analyst - Data Scanning utilizing Rochade,$51K-$88K (Glassdoor est.),3.6,"Perficient
3.6","New York, NY","Saint Louis, MO",1001 to 5000 employees,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),-1,-1,69.5,Perficient, NY,24
Data Analyst - Stitching,$51K-$88K (Glassdoor est.),3.6,"Perficient
3.6","New York, NY","Saint Louis, MO",1001 to 5000 employees,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),-1,-1,69.5,Perficient, NY,24
Junior Data Analyst,$51K-$88K (Glassdoor est.),4.1,"Kforce
4.1","New York, NY","Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1,-1,69.5,Kforce, NY,56
"Data Analyst, Retail Media",$51K-$88K (Glassdoor est.),3.9,"Criteo
3.9","New York, NY","Paris, France",1001 to 5000 employees,2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"MediaMath, Conversant, AppNexus",-1,69.5,Criteo, NY,17
Data Analyst,$51K-$88K (Glassdoor est.),3.0,"Royal Communications
3.0","New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,-1,69.5,Royal Communications, NY,-1
Portfolio Data Analyst,$51K-$88K (Glassdoor est.),3.7,"Neuberger Berman
3.7","New York, NY","New York, NY",1001 to 5000 employees,1939,Company - Private,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD),"Fidelity Investments, BlackRock, Putnam Investments",-1,69.5,Neuberger Berman, NY,83
Data Science Analyst,$51K-$88K (Glassdoor est.),-1.0,Greater New York Mutual Insurance Companies (GNY),"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,69.5,Greater New York Mutual Insurance Companies (GNY), NY,-1
Data/Reporting Analyst,$51K-$88K (Glassdoor est.),3.9,"Diverse Lynx
3.9","New York, NY","Princeton, NJ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,-1,69.5,Diverse Lynx, NY,20
Data Analyst 2,$51K-$88K (Glassdoor est.),3.7,"eTeam Inc.
3.7","New York, NY","South Plainfield, NJ",51 to 200 employees,1999,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),"Artech Information Systems, Mindlance, Tech Mahindra",-1,69.5,eTeam Inc., NY,23
Entry Level Data Analyst,$51K-$88K (Glassdoor est.),-1.0,impakt Advisors,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1,69.5,impakt Advisors, NY,-1
Marketing Data Analyst,$51K-$88K (Glassdoor est.),3.6,"Current
3.6","New York, NY","Colorado Springs, CO",201 to 500 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,69.5,Current, NY,-1
Data/Information Mgt Analyst,$51K-$88K (Glassdoor est.),3.7,"Citi
3.7","New York, NY","New York, NY",10000+ employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1,69.5,Citi, NY,210
Business Data Analyst,$51K-$88K (Glassdoor est.),3.6,"Axelon Services Corporation
3.6","New York, NY","New York, NY",501 to 1000 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1,69.5,Axelon Services Corporation, NY,-1
Information Systems Officer (Data Analyst),$51K-$88K (Glassdoor est.),4.1,"United Nations
4.1","New York, NY","New York, NY",10000+ employees,1945,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,-1,69.5,United Nations, NY,77
Media Science Big Data Analyst,$51K-$88K (Glassdoor est.),3.5,"Discovery Communications, Inc.
3.5","New York, NY","New York, NY",10000+ employees,1985,Company - Public,TV Broadcast & Cable Networks,Media,$5 to $10 billion (USD),-1,-1,69.5,"Discovery Communications, Inc.", NY,37
Data Analyst,$51K-$88K (Glassdoor est.),3.7,"Randstad
3.7","Jersey City, NJ","Atlanta, GA",1001 to 5000 employees,-1,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,69.5,Randstad, NJ,-1
Data Analyst,$51K-$88K (Glassdoor est.),5.0,"Mulberry Technology
5.0","New York, NY","New York, NY (US), NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,69.5,Mulberry Technology, NY,-1
Data analyst with Python,$51K-$88K (Glassdoor est.),4.0,"Two95 International Inc.
4.0","New York, NY","Cherry Hill, NJ",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,-1,69.5,Two95 International Inc., NY,-1
Data Analyst,$51K-$88K (Glassdoor est.),4.8,"SoftStandard Solutions
4.8","New York, NY","Fremont, CA",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,69.5,SoftStandard Solutions, NY,-1
Data Analyst,$51K-$88K (Glassdoor est.),5.0,"EDO, Inc.
5.0","New York, NY","Los Angeles, CA",1 to 50 employees,-1,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,69.5,"EDO, Inc.", NY,-1
"Healthcare Data Analyst, Qsight",$51K-$88K (Glassdoor est.),3.3,"Guidepoint
3.3","New York, NY","New York, NY",501 to 1000 employees,2003,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,"Coleman Research, AlphaSights, Third Bridge",True,69.5,Guidepoint, NY,19
BA/Data Analyst,$51K-$88K (Glassdoor est.),4.1,"Mitchell Martin
4.1","New York, NY","New York, NY",501 to 1000 employees,1984,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1,69.5,Mitchell Martin, NY,38
Data Analyst Python,$51K-$88K (Glassdoor est.),4.0,"Lorven Technologies Inc
4.0","New York, NY","Plainsboro, NJ",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,-1,69.5,Lorven Technologies Inc, NY,-1
"Data Analyst, Bitcoin Trading Firm",$51K-$88K (Glassdoor est.),-1.0,Fintech Recruiters,"New York, NY","Dublin, Ireland",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,69.5,Fintech Recruiters, NY,-1
Data Analyst-BA,$51K-$88K (Glassdoor est.),1.0,"Sphinix Network Solutions Inc.
1.0","New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1,-1,69.5,Sphinix Network Solutions Inc., NY,-1
Data Analytics Solutions Analyst,$51K-$88K (Glassdoor est.),3.1,"Praescient Analytics
3.1","New York, NY","Alexandria, VA",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,-1,69.5,Praescient Analytics, NY,11
Quantitative Data Analyst,$51K-$88K (Glassdoor est.),4.5,"Global Atlantic Financial Group
4.5","New York, NY","New York, NY",1001 to 5000 employees,2004,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1,True,69.5,Global Atlantic Financial Group, NY,18
Data Analyst,$51K-$88K (Glassdoor est.),3.4,"FINRA
3.4","New York, NY","Washington, DC",1001 to 5000 employees,2007,Nonprofit Organization,Brokerage Services,Finance,$500 million to $1 billion (USD),-1,-1,69.5,FINRA, NY,15
Data Analyst,$51K-$87K (Glassdoor est.),-1.0,NYU Langone Medical Center,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,69.0,NYU Langone Medical Center, NY,-1
"Descriptive Analytics Data Analyst, IB",$51K-$87K (Glassdoor est.),3.6,"Jefferies
3.6","New York, NY","New York, NY",1001 to 5000 employees,1962,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),-1,-1,69.0,Jefferies, NY,60
Data Analyst,$51K-$87K (Glassdoor est.),4.1,"RGP
4.1","New York, NY","Irvine, CA",1001 to 5000 employees,1996,Company - Public,Consulting,Business Services,$500 million to $1 billion (USD),"Deloitte, Huron Consulting Group, Point B",-1,69.0,RGP, NY,26
Data Analyst,$51K-$87K (Glassdoor est.),4.4,"Tachyon Technologies
4.4","New York, NY","Irving, TX",201 to 500 employees,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,-1,69.0,Tachyon Technologies, NY,11
Data Analyst,$51K-$87K (Glassdoor est.),3.8,"Apex Systems
3.8","Jersey City, NJ","Glen Allen, VA",1001 to 5000 employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"TEKsystems, Insight Global, Accenture",True,69.0,Apex Systems, NJ,27
Data Analyst,$51K-$87K (Glassdoor est.),3.2,"Hagerty Consulting
3.2","New York, NY","Evanston, IL",1 to 50 employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1,-1,69.0,Hagerty Consulting, NY,-1
Data Analyst,$51K-$87K (Glassdoor est.),-1.0,Gainful Health,"New York, NY","San Mateo, CA",1 to 50 employees,-1,Company - Private,Food & Beverage Stores,Retail,Unknown / Non-Applicable,-1,-1,69.0,Gainful Health, NY,-1
Business Data Analyst,$51K-$87K (Glassdoor est.),3.8,"Cortex consultants LLC
3.8","New York, NY","North Brunswick, NJ",501 to 1000 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1,69.0,Cortex consultants LLC, NY,-1
Data Analyst,$51K-$87K (Glassdoor est.),4.7,"Medly Pharmacy
4.7","Brooklyn, NY","Brooklyn, NY",201 to 500 employees,2017,Unknown,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,69.0,Medly Pharmacy, NY,5
Healthcare Data Analyst,$51K-$87K (Glassdoor est.),2.3,"Fair Health
2.3","New York, NY","New York, NY",1 to 50 employees,-1,Nonprofit Organization,-1,-1,$10 to $25 million (USD),-1,-1,69.0,Fair Health, NY,-1
Supply Chain Data Analyst,$51K-$87K (Glassdoor est.),3.8,"Peloton Interactive
3.8","New York, NY","New York, NY",1001 to 5000 employees,2012,Company - Public,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,-1,True,69.0,Peloton Interactive, NY,10
Data Analyst - IBM Tool Set,$51K-$87K (Glassdoor est.),4.6,"ektello
4.6","New York, NY","Troy, MI",201 to 500 employees,2011,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,-1,69.0,ektello, NY,11
Analyst-Data Integrity,$51K-$87K (Glassdoor est.),3.0,"Premier, Inc.
3.0","New York, NY","Charlotte, NC",1001 to 5000 employees,1967,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1,-1,69.0,"Premier, Inc.", NY,55
"Reference Data Operations Analyst - Index Instrument, Associate",$51K-$87K (Glassdoor est.),3.9,"JPMorgan Chase
3.9","New York, NY","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1,69.0,JPMorgan Chase, NY,223
Data Analyst,$51K-$87K (Glassdoor est.),3.0,"Fund for Public Health
3.0","Long Island City, NY","New York, NY",201 to 500 employees,-1,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),-1,-1,69.0,Fund for Public Health, NY,-1
Data & Service Health Analyst,$51K-$87K (Glassdoor est.),4.2,"BlueVoyant
4.2","New York, NY","New York, NY",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,69.0,BlueVoyant, NY,-1
